令和４年,人口動態統計,,
上巻　付録　第４表－３　年次・都道府県・性別人口　－女－

注：１) 各年次の人口は10月１日現在。1935年（昭和10年）・1947年（昭和22年）・1950年（昭和25年）以降５年ごとの人口は国勢調査人口である。
　　２) 1965年（昭和40年）以前は総人口、1970年（昭和45年）以降は日本人人口である。
　　３) 1947年（昭和22年）は地域的に配分されない調査もれを除く。
　　４) 1960年（昭和35年）の長野県西筑摩郡山口村と岐阜県中津川市の境界紛争地域の人口73人(男39人、女34人)は全国総数に含まれているが、長野県・岐阜県のいずれにも含まれていない。
　　５) 1970年（昭和45年）・1975年（昭和50年）・1980年（昭和55年）・1995年（平成７年）については、国勢調査確定数。1990年（平成２年）・2000年（平成12年）・2005年（平成17年）・
　　　　2010年（平成22年）・2015年（平成27年）については、国勢調査確定数（按分済み人口）。2020年（令和２年）については、国勢調査確定数（不詳補完結果）。
　　６) 1970年（昭和45年）・1975年（昭和50年）・1980年（昭和55年）の各報告書では、それぞれ１％抽出集計結果を用いたので本表と数値が異なる。
　　７) 1985年（昭和60年）については、全国は日本人人口、都道府県は総人口であり、「昭和60年国勢調査抽出速報集計結果」を用いた。
　　８) 2016年（平成28年）より、都道府県も日本人人口となり、「人口推計（各年10月１日現在）」を用いた。


23 愛知県,1444483,1602497,1741396,1939480,2141587,2416568,2669373,2933075,3083467,3245100,3303936,3382860,3461645,3540574,3619496,3647000,3653105,3657000,3659000,3658000,3655000,3650705,3642000,3627000
24 三重県,602239,740209,756392,767763,768339,786665,797214,835070,865354,898200,917947,939471,944432,942289,934202,920000,915810,911000,904000,898000,890000,880774,873000,865000
25 滋賀県,366251,446332,448070,443921,439414,443883,457082,500540,547047,590400,616850,645724,670341,687564,702983,707000,705946,706000,705000,703000,702000,700840,699000,697000
26 京都府,839510,893807,941318,990883,1020363,1074735,1129030,1212854,1267065,1307000,1311648,1324873,1342608,1350566,1347924,1338000,1337517,1335000,1331000,1326000,1320000,1317315,1310000,1300000
27 大阪府,2055508,1687771,1957302,2328138,2738517,3301490,3721605,4063808,4183294,4381800,4335449,4378657,4410898,4444301,4489823,4495000,4500662,4498000,4495000,4490000,4486000,4478618,4468000,4450000
28 兵庫県,1456965,1551951,1687180,1847459,1988600,2189195,2335095,2503059,2593418,2698500,2745717,2748077,2832944,2865462,2871840,2857000,2851407,2844000,2834000,2824000,2812000,2809942,2795000,2777000
29 奈良県,314460,403677,395020,398900,398564,425612,477239,551127,619042,670200,708183,737630,747150,740030,732224,722000,715555,712000,707000,703000,698000,693915,689000,684000
30 和歌山県,435449,498351,506789,516286,517197,529719,537470,552000,561117,570800,561203,564395,560162,544727,527761,512000,507391,502000,497000,491000,486000,483764,479000,473000
31 鳥取県,251160,306978,310390,317244,312419,304281,298604,303431,313379,323500,319790,319289,317982,314154,305462,298000,297453,295000,293000,290000,287000,286018,283000,281000
32 島根県,373827,464049,468196,472336,456405,427950,405166,401087,406494,416500,406495,401255,394931,385493,371214,360000,358163,355000,351000,348000,344000,342161,338000,334000
