令和４年,人口動態統計,,
上巻　付録　第４表－２　年次・都道府県・性別人口　－男－

注：１) 各年次の人口は10月１日現在。1935年（昭和10年）・1947年（昭和22年）・1950年（昭和25年）以降５年ごとの人口は国勢調査人口である。
　　２) 1965年（昭和40年）以前は総人口、1970年（昭和45年）以降は日本人人口である。
　　３) 1947年（昭和22年）は地域的に配分されない調査もれを除く。
　　４) 1960年（昭和35年）の長野県西筑摩郡山口村と岐阜県中津川市の境界紛争地域の人口73人(男39人、女34人)は全国総数に含まれているが、長野県・岐阜県のいずれにも含まれていない。
　　５) 1970年（昭和45年）・1975年（昭和50年）・1980年（昭和55年）・1995年（平成７年）については、国勢調査確定数。1990年（平成２年）・2000年（平成12年）・2005年（平成17年）・
　　　　2010年（平成22年）・2015年（平成27年）については、国勢調査確定数（按分済み人口）。2020年（令和２年）については、国勢調査確定数（不詳補完結果）。
　　６) 1970年（昭和45年）・1975年（昭和50年）・1980年（昭和55年）の各報告書では、それぞれ１％抽出集計結果を用いたので本表と数値が異なる。
　　７) 1985年（昭和60年）については、全国は日本人人口、都道府県は総人口であり、「昭和60年国勢調査抽出速報集計結果」を用いた。
　　８) 2016年（平成28年）より、都道府県も日本人人口となり、「人口推計（各年10月１日現在）」を用いた。


,1935,1947,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022
全　国,34734133,38129399,40811760,43860718,45877602,48244445,50600539,54724867,57201287,59044000,60248969,60919153,61488005,61617893,61571727,61041000,61022756,60866773,60675736,60454898,60208034,60002838,59686643,59313678
01 北海道,1593845,1934179,2169393,2428833,2544753,2583159,2548598,2616571,2731359,2767200,2718461,2727566,2713299,2668263,2596047,2537000,2528249,2511000,2494000,2475000,2455000,2448759,2429000,2407000
02 青森県,484277,579690,635547,678837,694037,682972,684479,706182,734299,724800,703845,702351,701308,677747,644839,619000,613429,606000,599000,591000,583000,581132,573000,565000
03 岩手県,519485,614227,664000,698563,702697,679497,657610,667243,687401,699200,679290,680790,679886,662028,633657,613000,613993,609000,602000,595000,589000,580264,574000,566000
04 宮城県,622973,772928,828879,846404,848579,854043,886902,957778,1022732,1058500,1102361,1140128,1154105,1144539,1134707,1129000,1133842,1131000,1127000,1123000,1116000,1112335,1107000,1100000
05 秋田県,519249,616269,646445,660066,644671,614429,592663,589854,602721,600900,584003,576603,563704,539747,509065,485000,479495,473000,467000,460000,453000,451082,444000,438000
06 山形県,549060,641447,660555,651737,630997,605185,587084,586417,604902,602300,606405,606138,600034,583661,559360,542000,538942,534000,529000,523000,517000,513878,508000,502000
07 福島県,778732,963399,1006823,1016756,986836,954988,935003,952109,989087,996000,1022530,1039147,1034435,1013460,981711,942000,942525,937000,927000,917000,908000,897843,888000,878000
08 茨城県,766423,974289,993694,1006093,1000184,1007852,1052159,1157536,1269694,1361600,1413482,1462678,1473555,1462446,1460874,1437000,1433632,1427000,1420000,1411000,1401000,1397039,1389000,1380000
09 栃木県,588545,738344,752266,749636,729692,735781,768506,833590,883968,921800,957324,977371,985746,989721,984884,972000,969568,965000,962000,957000,951000,943800,938000,930000
10 群馬県,606779,759140,778910,781607,759639,778916,806727,857665,907057,939500,965827,977895,984816,979013,971506,956000,955166,950000,945000,939000,932000,928834,922000,914000
11 埼玉県,753802,1022869,1049695,1110083,1200573,1511947,1946868,2430387,2730531,2954700,3229425,3384961,3471147,3517257,3569078,3578000,3580126,3581000,3582000,3579000,3575000,3559650,3552000,3542000
12 千葉県,764751,1018295,1036932,1074181,1128734,1343167,1690355,2088099,2374182,2590700,2789174,2896807,2951889,2996890,3063676,3046000,3055780,3056000,3056000,3054000,3051000,3039216,3033000,3024000
13 東京都,3325696,2553174,3169389,4115823,4997023,5564583,5755815,5854673,5793927,5945100,5887794,5770200,5925437,6143520,6360369,6443000,6482439,6514000,6538000,6563000,6589000,6623630,6606000,6595000
